features,model,accuracy,error
"('chroma', 'spectral_contrast', 'rms_energy')",LSTM,0.8261964917182922,
"('spectral_contrast', 'rolloff')",CNN,0.8261964917182922,
"('mfccs', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Dense NN,0.8236775994300842,
"('mfccs', 'chroma', 'spectral_contrast', 'rms_energy')",LSTM,0.8236775994300842,
"('chroma', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",LSTM,0.8236775994300842,
"('spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",LSTM,0.8236775994300842,
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Dense NN,0.8236775994300842,
"('mfccs',)",CNN,0.8236775994300842,
"('mfccs', 'chroma', 'spectral_contrast', 'centroid')",Dense NN,0.8236775994300842,
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff')",Dense NN,0.8236775994300842,
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",CNN,0.8236775994300842,
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",LSTM,0.8236775994300842,
"('spectral_contrast', 'zcr', 'rms_energy')",LSTM,0.8236775994300842,
"('spectral_contrast', 'zcr', 'rms_energy')",Dense NN,0.8236775994300842,
"('mfccs', 'chroma', 'centroid')",Dense NN,0.8236775994300842,
"('mfccs', 'chroma', 'centroid')",CNN,0.8236775994300842,
"('chroma', 'spectral_contrast', 'rolloff', 'rms_energy')",LSTM,0.8236775994300842,
"('spectral_contrast', 'zcr', 'centroid', 'rms_energy')",CNN,0.8236775994300842,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'centroid')",Dense NN,0.8236775994300842,
"('chroma', 'spectral_contrast', 'zcr', 'rolloff')",LSTM,0.8236775994300842,
"('mfccs', 'chroma', 'rolloff', 'centroid', 'rms_energy')",CNN,0.8211587071418762,
"('mfccs', 'spectral_contrast', 'zcr', 'rms_energy')",LSTM,0.8211587071418762,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Dense NN,0.8211587071418762,
"('mfccs', 'spectral_contrast', 'rolloff', 'rms_energy')",LSTM,0.8211587071418762,
"('mfccs', 'spectral_contrast', 'rms_energy')",LSTM,0.8211587071418762,
"('mfccs', 'zcr', 'rolloff')",Dense NN,0.8211587071418762,
"('spectral_contrast', 'zcr')",LSTM,0.8211587071418762,
"('chroma', 'spectral_contrast', 'zcr')",LSTM,0.8211587071418762,
"('mfccs', 'rolloff', 'centroid', 'rms_energy')",LSTM,0.8211587071418762,
"('mfccs', 'spectral_contrast', 'rolloff')",Dense NN,0.8211587071418762,
"('mfccs', 'rolloff', 'rms_energy')",CNN,0.8211587071418762,
"('chroma', 'spectral_contrast', 'centroid')",CNN,0.8211587071418762,
"('chroma', 'spectral_contrast', 'zcr', 'rms_energy')",LSTM,0.8211587071418762,
"('mfccs', 'chroma', 'zcr', 'rolloff', 'rms_energy')",Dense NN,0.8186398148536682,
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",CNN,0.8186398148536682,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'centroid')",LSTM,0.8186398148536682,
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",Dense NN,0.8186398148536682,
"('chroma', 'spectral_contrast', 'centroid', 'rms_energy')",LSTM,0.8186398148536682,
"('mfccs', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",LSTM,0.8186398148536682,
"('spectral_contrast', 'centroid', 'rms_energy')",LSTM,0.8186398148536682,
"('spectral_contrast', 'rolloff', 'rms_energy')",LSTM,0.8186398148536682,
"('mfccs', 'chroma', 'spectral_contrast', 'centroid', 'rms_energy')",LSTM,0.8186398148536682,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",Dense NN,0.8186398148536682,
"('spectral_contrast', 'zcr', 'centroid')",CNN,0.8186398148536682,
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'rms_energy')",Dense NN,0.8186398148536682,
"('mfccs', 'chroma', 'spectral_contrast', 'centroid')",LSTM,0.8186398148536682,
"('mfccs', 'centroid')",Dense NN,0.8186398148536682,
"('spectral_contrast', 'rms_energy')",CNN,0.8186398148536682,
"('chroma', 'spectral_contrast', 'zcr', 'centroid')",Dense NN,0.8161209225654602,
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff')",LSTM,0.8161209225654602,
"('chroma', 'spectral_contrast', 'centroid')",LSTM,0.8161209225654602,
"('mfccs', 'chroma', 'zcr', 'rolloff')",Dense NN,0.8161209225654602,
"('mfccs', 'chroma', 'rolloff', 'rms_energy')",Dense NN,0.8161209225654602,
"('mfccs', 'chroma', 'rolloff', 'rms_energy')",CNN,0.8161209225654602,
"('mfccs', 'rolloff', 'rms_energy')",Dense NN,0.8161209225654602,
"('mfccs', 'spectral_contrast', 'zcr', 'centroid')",LSTM,0.8161209225654602,
"('mfccs', 'rolloff', 'centroid')",Dense NN,0.8161209225654602,
"('spectral_contrast', 'rolloff', 'rms_energy')",CNN,0.8161209225654602,
"('mfccs', 'rolloff', 'centroid', 'rms_energy')",CNN,0.8161209225654602,
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",LSTM,0.8161209225654602,
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",CNN,0.8161209225654602,
"('spectral_contrast', 'zcr', 'rolloff')",CNN,0.8161209225654602,
"('chroma', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",Dense NN,0.8136020302772522,
"('mfccs', 'zcr', 'rolloff', 'rms_energy')",Dense NN,0.8136020302772522,
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",Dense NN,0.8136020302772522,
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",LSTM,0.8136020302772522,
"('mfccs', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",Dense NN,0.8136020302772522,
"('mfccs', 'centroid', 'rms_energy')",CNN,0.8136020302772522,
"('spectral_contrast', 'centroid')",LSTM,0.8136020302772522,
"('chroma', 'spectral_contrast', 'rolloff')",LSTM,0.8136020302772522,
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'rms_energy')",LSTM,0.8136020302772522,
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",Dense NN,0.8136020302772522,
"('mfccs',)",Dense NN,0.8136020302772522,
"('mfccs', 'chroma', 'zcr', 'centroid', 'rms_energy')",Dense NN,0.8136020302772522,
"('spectral_contrast',)",Dense NN,0.8136020302772522,
"('spectral_contrast', 'zcr', 'centroid')",Dense NN,0.8136020302772522,
"('chroma', 'spectral_contrast', 'centroid', 'rms_energy')",Dense NN,0.8110831379890442,
