features,model,accuracy
"('mfccs', 'chroma', 'rolloff', 'rms_energy')",Random Forest,0.8564231738035264
"('chroma', 'spectral_contrast', 'rolloff', 'centroid')",Logistic Regression,0.853904282115869
"('spectral_contrast', 'zcr', 'rolloff', 'centroid')",Logistic Regression,0.853904282115869
"('mfccs', 'zcr', 'rolloff', 'rms_energy')",Random Forest,0.853904282115869
"('mfccs', 'chroma', 'zcr', 'centroid')",Random Forest,0.853904282115869
"('spectral_contrast', 'rolloff', 'centroid')",Logistic Regression,0.853904282115869
"('mfccs', 'rolloff', 'centroid')",Random Forest,0.853904282115869
"('spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",Random Forest,0.853904282115869
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",Random Forest,0.853904282115869
"('spectral_contrast', 'rms_energy')",SVM,0.8513853904282116
"('mfccs', 'zcr', 'rms_energy')",Random Forest,0.8513853904282116
"('mfccs', 'chroma', 'centroid', 'rms_energy')",Random Forest,0.8513853904282116
"('mfccs', 'rolloff', 'centroid', 'rms_energy')",Random Forest,0.8513853904282116
"('mfccs', 'zcr')",Random Forest,0.8513853904282116
"('spectral_contrast', 'zcr')",SVM,0.8513853904282116
"('spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.8513853904282116
"('mfccs', 'chroma', 'zcr', 'centroid', 'rms_energy')",Random Forest,0.8488664987405542
"('mfccs', 'chroma', 'rolloff')",Random Forest,0.8488664987405542
"('mfccs', 'chroma', 'zcr')",Random Forest,0.8488664987405542
"('chroma', 'spectral_contrast', 'zcr', 'centroid')",Logistic Regression,0.8488664987405542
"('spectral_contrast', 'rolloff', 'centroid')",Random Forest,0.8488664987405542
"('mfccs', 'zcr', 'rolloff')",Random Forest,0.8488664987405542
"('mfccs', 'zcr', 'rolloff', 'centroid')",Random Forest,0.8488664987405542
"('chroma', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",Logistic Regression,0.8488664987405542
"('mfccs', 'chroma', 'zcr', 'rolloff')",Random Forest,0.8488664987405542
"('spectral_contrast', 'zcr', 'rolloff', 'centroid')",Random Forest,0.8488664987405542
"('mfccs', 'chroma', 'rolloff', 'centroid', 'rms_energy')",Random Forest,0.8463476070528967
"('mfccs', 'chroma', 'zcr', 'rolloff', 'centroid')",Random Forest,0.8463476070528967
"('mfccs', 'rolloff')",Random Forest,0.8463476070528967
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",Logistic Regression,0.8463476070528967
"('spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.8463476070528967
"('chroma', 'spectral_contrast', 'rolloff', 'rms_energy')",Logistic Regression,0.8463476070528967
"('mfccs', 'chroma', 'rolloff', 'centroid')",Random Forest,0.8463476070528967
"('chroma', 'spectral_contrast', 'centroid', 'rms_energy')",Logistic Regression,0.8463476070528967
